uri,type,jurisdiction,title,date_valid,publication_status,date_copyright,author,publisher,rights,description,subject,education_level,score_range,authority_status,statement_notation,statement_label,list_id,local_subject,comment,is_part_of,is_version_of,exact_match,concept_term,alt_statement_notation,is_child_of,has_child,indexing_status,creator,created
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN403,Statement,,,,,,,,,Identify a control in an experiment,Science,,20-23,Original,,,3,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN404,Statement,,,,,,,,,Identify similarities and differences between experiments,Science,,20-23,Original,,,4,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN405,Statement,,,,,,,,,"Determine which experiments utilized a given tool, method, or aspect of design",Science,,20-23,Original,,,5,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN501,Statement,,,,,,,,,Understand a complex experimental design,Science,,24-27,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN502,Statement,,,,,,,,,Predict the results of an additional trial or measurement in an experiment,Science,,24-27,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN503,Statement,,,,,,,,,Determine the experimental conditions that would produce specified results,Science,,24-27,Original,,,3,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN601,Statement,,,,,,,,,Determine the hypothesis for an experiment,Science,,28-32,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN602,Statement,,,,,,,,,Determine an alternate method for testing a hypothesis,Science,,28-32,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN701,Statement,,,,,,,,,Understand precision and accuracy issues,Science,,33-36,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN702,Statement,,,,,,,,,Predict the effects of modifying the design or methods of an experiment,Science,,33-36,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN703,Statement,,,,,,,,,Determine which additional trial or experiment could be performed to enhance or evaluate experimental results,Science,,33-36,Original,,,3,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN,,Indexable Statement,,
